2020,January,,,,,
Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,,,1,2,3,4
,,,4 ???,5 ???,6 ???,7 ???
,,,,R Day,F Day,Vayigash
,,,Winter Break,Sessions Resume,,
,,,,,,
,,,,,,
,,,,,Candle Lighting 4:22,Havdalah 5:22
5,6,7,8,9,10,11
8 ???,9 ???,10 ???,11 ???,12 ???,13 ???,14 ???
,M Day,C Day,A Day,R Day,E Day,Vayechi
,,Tzom Schedule,Early Dismissal Schedule,AM Assembly Schedule,,
,,Asara B'Tevet,Faculty Meeting,Advisory,,
,,Fast Begins at 6:08 AM,,,,
,,Fast Ends at 5:19 PM,,,Candle Lighting 4:29,Havdalah 5:29
12,13,14,15,16,17,18
15 ???,16 ???,17 ???,18 ???,19 ???,20 ???,21 ???
,M Day,B Day,,,,Shemot
,Grades 9-11: Regular Sessions,,Grade 9-11 Study Day,Grades 9-12: Final Exams,,
,,,,,,
,Grade 12: Study Day,Senior PM Final,Senior AM Final,,,
,,,,,Candle Lighting 4:37,Havdalah 5:36
19,20,21,22,23,24,25
22 ???,23 ???,24 ???,25 ???,26 ???,27 ???,28 ???
,,,,,Intersession,Vaera
,Martin Luther King Jr. Day,Grades 9-12: Final Exams,,,MLK Day of Service,
,,Makeup Day #1,,,,
,,Faculty Afternoon PD,,,Makeup Day #2,
,,,,,Candle Lighting 4:45,Havdalah 5:44
26,27,28,29,30,31,
29 ???,1 ???,2 ???,3 ???,4 ???,5 ???,
,M  Day,C Day,A Day,R Day,F Day,
,Rosh Chodesh Schedule,,,,,
,Rosh Chodesh Shevat ,,,,,
,Sessions Resume,Faculty Breakfast,,,,
,Third Quarter Begins,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
