,2020,April,,,,,
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,,,,1,2,3,4
,,,,7 ????,8 ????,9 ????,10 ????
,,,,B Day ,R Day,F Day,Tzav
,,,,Early Dismissal Schedule,,Modified Schedule,Shabbat HaGadol
,,,,Faculty Meeting,,Pre-Pesach Programming,
,,,,Advisory,,,
,,,,Parent Liaison Meeting,,Candle Lighting 7:05,Havdalah 8:02
,5,6,7,8,9,10,11
,11 ????,12 ????,13 ????,14 ????,15 ????,16 ????,17 ????
,,,,,,,
,ACT (not at Ramaz),,,Erev Pesach,Pesach,,
Pesach,,,Bedikat Chametz,,,,
,,,,Ta'anit Bechorim,,,
,,,,Candle Lighting 7:11,Candle Lighting after 8:06,Candle Lighting 7:12,Havdalah 8:10
,12,13,14,15,16,17,18
,18 ????,19 ????,20 ????,21 ????,22 ????,23 ????,24 ????
,,,,,,,Shemini
,Pesach,,,,,,
,,,,,,,
,,,,,,,
,,,,,,Candle Lighting 7:20 ,Havdalah 8:18
,19,20,21,22,23,24,25
,25 ????,26 ????,27 ????,28 ????,29 ????,30 ????,1 ????
,,M Day,C Day,A Day,R Day,E Day ,Tazria-Metzora
,,,PM Assembly Schedule,,,Friday R.C. Schedule,
,,Sessions Resume,Yom HaShoah,,,Rosh Chodesh Iyar,Rosh Chodesh Iyar
,,,Junior Trip AM Periods,,,,
,,,,,,Candle Lighting 7:27,Havdalah 8:26
,26,27,28,29,30,,
,2 ????,3 ????,4 ????,5 ????,6 ????,,
,Incoming Freshman Placement Exams and Parent Orientation,M Day ,B Day ,,R Day,,
,,Spring College Night for Juniors and Parents,,,,,
,,,Yom HaZikaron,Yom Ha'Aztmaut,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
