,2020,June,,,,,,
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,
,,1,2,3,4,5,6,
,,9 ????,10 ????,11 ????,12 ????,13 ????,14 ????,
,,M Day,A Day,B Day,R Day,E Day,Nasso,
,,,,,,Modified Schedule,,
,,,Sports Dinner,Advisory,Celebration of the Arts,Closing Grade Assemblies,,
,,,,Parent Liaison Meeting,,,,
,,,,,,Candle Lighting 8:06,Havdalah 9:09,
,7,8,9,10,11,12,13,
,15 ????,16 ????,17 ????,18 ????,19 ????,20 ????,21 ????,
,SAT at Ramaz,M Day,C Day,Study Day,,,Beha'alotcha,
,,,AM Assembly Schedule,,Final Exams,,,
,Celebrate Israel Parade,Friends & Family Concert,Closing Assembly,Daniella Moffson Day of Service,,,,
,,,Last Day of Classes,,Senior Dinner,,,
,,,,,,Candle Lighting 8:10,Havdalah 9:13,
,14,15,16,17,18,19,20,
,22 ????,23 ????,24 ????,25 ????,26 ????,27 ????,28 ????,
,, Final Exams,,,,,Shlach,
,ACT (not at Ramaz),,,,,,,
,,Makeup Day #1,Graduation,Makeup Day #2,,Makeup Day #3,,
,,,,,,,,
,,,,,,Candle Lighting 8:12,Havdalah 9:15,
,21,22,23,24,25,26,27,
,29 ????,30 ????,1 ????,2 ????,3 ????,4 ????,5 ????,
,,,,,,,Korach,
,Fathers Day,Faculty Meetings,,,,,,
,,,,,,,,
,,Rosh Chodesh Tammuz,Rosh Chodesh Tammuz,,,,,
,,,,,,Candle Lighting 8:13,Havdalah 9:15,
,28,29,30,,,,,
,6 ????,7 ????,8 ????,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
