SCHOOL ID,ID,FULL_NAME
Upper,UADV09,Advisory - 9th Grade
Upper,UADV10,Advisory - 10th Grade
Upper,CADV12,College Advisory 12
Upper,090170,Foundations in Art 9
Upper,120101,Honors Studio Art 12
Upper,100170,Art: Abstraction 10
Upper,110101,Hon Junior Seminar: Studio Art 11
Upper,110170,Drawing and Painting 11
Upper,110810,Theater Arts 11
Upper,111001,English Seminar 11
Upper,110806,Creative Writing 11
Upper,121018,Jewish American Novel 12
Upper,121032,Shakespeare 12
Upper,121053,Escape From Self 12
Upper,111000,English 11
Upper,101000,English 10
Upper,101001,English Seminar 10
Upper,101004,English Fundamentals 10
Upper,091000,English 9
Upper,091004,English Fundamentals 9
Upper,121003,Honors Sem: Crossing Borders 12
Upper,121082,Literary London
Upper,121083,Russian Literature
Upper,090370,Health Education 9
Upper,100370,Health Education 10
Upper,110370,Health Education 11
Upper,122010,AP Microeconomics 12
Upper,122014,Hon Sem: Zionism in Text & Practice 12
Upper,122029,Honors Seminar: Art History 12
Upper,122042,AP US Government 12
Upper,122045,The Modern Middle East 12
Upper,122046,Civilization! 12
Upper,122050,Film Production Seminar 12
Upper,112010,Contemporary History 11
Upper,112540,Hon Junior Sem: US Governmen
Upper,102000,Modern History 10
Upper,092000,Premodern History 9
Upper,129024,Honors Sem: Israeli Culture (Hebrew) 12
Upper,122053,History of Capitalism
Upper,122054,World War II
Upper,112500,Philosophy
Upper,112591,AP Microeconomics
Upper,100702,LC Support 10
Upper,090702,LC Support 9
Upper,090701,LC9
Upper,100701,LC 10
Upper,110701,LC 11
Upper,114012,Accelerated Pre-Calculus 11
Upper,114010,Honors Pre-Calculus 11
Upper,114014,AP Calculus BC Seminar 11
Upper,104009,Honors Calculus BC 10
Upper,104010,Honors Pre-Calculus Seminar 10
Upper,104011,Honors Algebra II & Trig. 10
Upper,104012,Accelerated Algebra & Trig 10
Upper,104013,Algebra II 10
Upper,094010,Honors Algebra II & Trig. 9
Upper,094011,Honors Geometry 9
Upper,094012,Accelerated Geometry 9
Upper,094013,Geometry 9
Upper,094014,General Geometry 9
Upper,124001,AP Calculus BC 12
Upper,124002,AP Calculus AB 12
Upper,124013,AP Statistics 12
Upper,124015,Multivariable Calc & Diff Equations 12
Upper,124019,Accelerated Calculus 12
Upper,124020,Calculus 12
Upper,124026,Applicable Math 12
Upper,104018,Algebra I 10
Upper,114020,Trigonometry & Pre-Calculus 11
Upper,114021,Algebra II & Trigonometry 11
