STUDENT_ID,SCHOOL_ID,SECTION_ID
120108,Upper,090070-10
100305,,090070-10
100307,,090070-10
100163,,090070-10
120164,,090070-10
100133,,090070-10
100302,,090070-10
120130,,090070-10
100203,,090070-10
100151,,090070-10
120128,,090070-10
100297,,090070-20
120039,,090070-20
100309,,090070-20
100205,,090070-20
100298,,090070-20
100180,,090070-20
120154,,090070-20
100196,,090070-20
120036,,090070-20
100431,,090070-30
100209,,090070-30
120057,,090070-30
100201,,090070-30
120143,,090070-30
100168,,090070-30
120051,,090070-30
100238,,090070-30
100286,,090070-30
100194,,090070-30
100295,,090070-30
100170,,090070-30
100172,,090070-40
100177,,090070-40
100284,,090070-40
100157,,090070-40
100160,,090070-40
100971,,090070-40
100165,,090070-40
100214,,090070-40
100799,,090070-40
120165,,090070-40
120055,,090070-50
100432,,090070-50
120045,,090070-50
120071,,090070-50
100210,,090070-50
100187,,090070-50
100204,,090070-50
100183,,090070-50
100179,,090070-50
120119,,090070-50
100174,,090070-50
100202,,090070-50
100272,,090070-60
100155,,090070-60
120070,,090070-60
120097,,090070-60
100158,,090070-60
100970,,090070-60
100181,,090070-60
100649,,090070-60
100153,,090070-60
100642,,090080-10
120122,,090080-10
100300,,090080-10
120111,,090080-10
100189,,090080-10
100294,,090080-10
100662,,090080-10
120095,,090080-20
100191,,090080-20
100193,,090080-20
100206,,090080-20
100919,,090080-20
120138,,090080-20
100195,,090080-20
120134,,090080-20
120123,,090080-20
100306,,090080-30
100932,,090080-30
120145,,090080-30
120103,,090080-30
100282,,090080-40
100154,,090080-40
100240,,090080-40
100159,,090080-40
100199,,090080-40
120096,,090080-40
120107,,090080-50
120110,,090080-50
120065,,090080-50
120126,,090080-50
100310,,090080-60
100239,,090080-60
100241,,090080-60
100188,,090080-60
120112,,090080-60
100178,,090080-60
100297,,090170-10
100272,,090170-10
100185,,090170-10
120039,,090170-10
120111,,090170-10
120164,,090170-10
100204,,090170-10
100193,,090170-10
120138,,090170-10
120154,,090170-10
120130,,090170-10
100662,,090170-10
120055,,090170-15
100642,,090170-15
100172,,090170-15
120108,,090170-15
100300,,090170-15
100177,,090170-15
100241,,090170-15
100210,,090170-15
100179,,090170-15
100189,,090170-15
100286,,090170-15
120101,,090170-20
100306,,090170-20
100284,,090170-20
100160,,090170-20
100178,,090170-20
100201,,090170-20
100206,,090170-20
100168,,090170-20
100183,,090170-20
100180,,090170-20
100133,,090170-20
100170,,090170-20
120128,,090170-20
120123,,090170-20
100431,,090170-25
100432,,090170-25
120107,,090170-25
100309,,090170-25
100209,,090170-25
100191,,090170-25
100157,,090170-25
100298,,090170-25
120110,,090170-25
100294,,090170-25
120145,,090170-25
100202,,090170-25
120036,,090170-25
100151,,090170-25
120045,,090170-30
120122,,090170-30
100154,,090170-30
100305,,090170-30
120057,,090170-30
100187,,090170-30
