SECTION_ID,WEEKDAY_NAME,BLOCK_NAME,ROOM
090070-10,Monday,Period 6 (US),US Gymnasium - Boys
090070-10,Thursday,Period 6 (US),US Gymnasium - Boys
090070-20,Monday,Period 3 (US),US Gymnasium - Boys
090070-20,Tuesday,Period 10 (US),US Gymnasium - Boys
090070-30,Thursday,Period 6 (US),US Gymnasium - Boys
090070-30,Friday,Period 5 (US),US Gymnasium - Boys
090070-40,Tuesday,Period 10 (US),US Gymnasium - Boys
090070-40,Wednesday,Period 9 (US),US Gymnasium - Boys
090070-50,Monday,Period 6 (US),US Gymnasium - Boys
090070-50,Friday,Period 5 (US),US Gymnasium - Boys
090070-60,Monday,Period 3 (US),US Gymnasium - Boys
090070-60,Wednesday,Period 9 (US),US Gymnasium - Boys
090080-10,Monday,Period 6 (US),US Gymnasium - Girls
090080-10,Thursday,Period 6 (US),US Gymnasium - Girls
090080-20,Monday,Period 3 (US),US Gymnasium - Girls
090080-20,Tuesday,Period 10 (US),US Gymnasium - Girls
090080-30,Thursday,Period 6 (US),US Gymnasium - Girls
090080-30,Friday,Period 5 (US),US Gymnasium - Girls
090080-40,Tuesday,Period 10 (US),US Gymnasium - Girls
090080-40,Wednesday,Period 9 (US),US Gymnasium - Girls
090080-50,Monday,Period 6 (US),US Gymnasium - Girls
090080-50,Friday,Period 5 (US),US Gymnasium - Girls
090080-60,Monday,Period 3 (US),US Gymnasium - Girls
090080-60,Wednesday,Period 9 (US),US Gymnasium - Girls
090170-10,Monday,Period 9 (US),US Classroom 705 Art
090170-10,Wednesday,Period 3 (US),US Classroom 705 Art
090170-15,Monday,Period 9 (US),US Classroom 705 Art
090170-15,Wednesday,Period 3 (US),US Classroom 705 Art
090170-20,Tuesday,Period 3 (US),US Classroom 705 Art
090170-20,Thursday,Period 3 (US),US Classroom 705 Art
090170-25,Tuesday,Period 3 (US),US Classroom 705 Art
090170-25,Thursday,Period 3 (US),US Classroom 705 Art
090170-30,Tuesday,Period 6 (US),US Classroom 705 Art
090170-30,Thursday,Period 9 (US),US Classroom 705 Art
090170-35,Tuesday,Period 6 (US),US Classroom 705 Art
090170-35,Thursday,Period 9 (US),US Classroom 705 Art
090170-40,Wednesday,Period 7 (US),US Classroom 705 Art
090170-40,Friday,Period 4 (US),US Classroom 705 Art
090170-45,Wednesday,Period 7 (US),US Classroom 705 Art
090170-45,Friday,Period 4 (US),US Classroom 705 Art
090270-10,Monday,Period 9 (US),US Classroom 702 Music
090270-10,Wednesday,Period 3 (US),US Classroom 702 Music
090270-15,Monday,Period 9 (US),US Classroom 702 Music
090270-15,Wednesday,Period 3 (US),US Classroom 702 Music
090270-20,Tuesday,Period 3 (US),US Classroom 702 Music
090270-20,Thursday,Period 3 (US),US Classroom 702 Music
090270-25,Tuesday,Period 3 (US),US Classroom 702 Music
090270-25,Thursday,Period 3 (US),US Classroom 702 Music
090270-30,Tuesday,Period 6 (US),US Classroom 702 Music
090270-30,Thursday,Period 9 (US),US Classroom 702 Music
090270-35,Tuesday,Period 6 (US),US Classroom 702 Music
090270-35,Thursday,Period 9 (US),US Classroom 702 Music
090270-40,Wednesday,Period 7 (US),US Classroom 702 Music
090270-40,Friday,Period 4 (US),US Classroom 702 Music
090270-45,Wednesday,Period 7 (US),US Classroom 702 Music
090270-45,Friday,Period 4 (US),US Classroom 702 Music
090370-10,Tuesday,Period 1 (US),US Classroom 406
090370-20,Friday,Period 3 (US),US Classroom 305
090370-30,Monday,Period 7 (US),US Classroom 304
090370-40,Friday,Period 6 (US),US Classroom 507
090370-50,Thursday,Period 7 (US),US Classroom 604
090370-60,Tuesday,Period 2 (US),US Classroom 406
090370-70,Tuesday,Period 4 (US),US Classroom 406
090701-10,Monday,Period 4 (US),US Learning Center
090701-10,Thursday,Period 8 (US),US Learning Center
090701-10,Friday,Period 3 (US),US Learning Center
090701-20,Tuesday,Period 7 (US),US Learning Center
090701-20,Wednesday,Period 6 (US),US Learning Center
090701-20,Friday,Period 6 (US),US Learning Center
090701-30,Monday,Period 10 (US),US Learning Center
090701-30,Wednesday,Period 2 (US),US Learning Center
090701-30,Thursday,Period 7 (US),US Learning Center
090701-40,Monday,Period 1 (US),US Learning Center
090701-40,Wednesday,Period 1 (US),US Learning Center
090701-40,Thursday,Period 10 (US),US Learning Center
090702-10,Monday,Period 6 (US),US Learning Center
090702-20,Thursday,Period 6 (US),US Learning Center
090702-30,Friday,Period 5 (US),US Learning Center
090702-40,Monday,Period 3 (US),US Learning Center
091000-10,Monday,Period 4 (US),US Classroom 307
091000-10,Tuesday,Period 1 (US),US Classroom 307
