STUDENT_ID,SCHOOL_ID,SECTION_ID
120108,Upper,090070-10
100305,Upper,090070-10
100307,Upper,090070-10
100163,Upper,090070-10
120164,Upper,090070-10
100133,Upper,090070-10
100302,Upper,090070-10
120130,Upper,090070-10
100203,Upper,090070-10
100151,Upper,090070-10
120128,Upper,090070-10
100297,Upper,090070-20
120039,Upper,090070-20
100309,Upper,090070-20
100205,Upper,090070-20
100298,Upper,090070-20
100180,Upper,090070-20
120154,Upper,090070-20
100196,Upper,090070-20
120036,Upper,090070-20
100431,Upper,090070-30
100209,Upper,090070-30
120057,Upper,090070-30
100201,Upper,090070-30
120143,Upper,090070-30
100168,Upper,090070-30
120051,Upper,090070-30
100238,Upper,090070-30
100286,Upper,090070-30
100194,Upper,090070-30
100295,Upper,090070-30
100170,Upper,090070-30
100172,Upper,090070-40
100177,Upper,090070-40
100284,Upper,090070-40
100157,Upper,090070-40
100160,Upper,090070-40
100971,Upper,090070-40
100165,Upper,090070-40
100214,Upper,090070-40
100799,Upper,090070-40
120165,Upper,090070-40
120055,Upper,090070-50
100432,Upper,090070-50
120045,Upper,090070-50
120071,Upper,090070-50
100210,Upper,090070-50
100187,Upper,090070-50
100204,Upper,090070-50
100183,Upper,090070-50
100179,Upper,090070-50
120119,Upper,090070-50
100174,Upper,090070-50
100202,Upper,090070-50
100272,Upper,090070-60
100155,Upper,090070-60
120070,Upper,090070-60
120097,Upper,090070-60
100158,Upper,090070-60
100970,Upper,090070-60
100181,Upper,090070-60
100649,Upper,090070-60
100153,Upper,090070-60
100642,Upper,090080-10
120122,Upper,090080-10
100300,Upper,090080-10
120111,Upper,090080-10
100189,Upper,090080-10
100294,Upper,090080-10
100662,Upper,090080-10
120095,Upper,090080-20
100191,Upper,090080-20
100193,Upper,090080-20
100206,Upper,090080-20
100919,Upper,090080-20
120138,Upper,090080-20
100195,Upper,090080-20
120134,Upper,090080-20
120123,Upper,090080-20
100306,Upper,090080-30
100932,Upper,090080-30
120145,Upper,090080-30
120103,Upper,090080-30
100282,Upper,090080-40
100154,Upper,090080-40
100240,Upper,090080-40
100159,Upper,090080-40
100199,Upper,090080-40
120096,Upper,090080-40
120107,Upper,090080-50
120110,Upper,090080-50
120065,Upper,090080-50
120126,Upper,090080-50
100310,Upper,090080-60
100239,Upper,090080-60
100241,Upper,090080-60
100188,Upper,090080-60
120112,Upper,090080-60
100178,Upper,090080-60
100297,Upper,090170-10
100272,Upper,090170-10
100185,Upper,090170-10
120039,Upper,090170-10
120111,Upper,090170-10
120164,Upper,090170-10
100204,Upper,090170-10
100193,Upper,090170-10
120138,Upper,090170-10
120154,Upper,090170-10
120130,Upper,090170-10
100662,Upper,090170-10
120055,Upper,090170-15
100642,Upper,090170-15
100172,Upper,090170-15
120108,Upper,090170-15
100300,Upper,090170-15
100177,Upper,090170-15
100241,Upper,090170-15
100210,Upper,090170-15
100179,Upper,090170-15
100189,Upper,090170-15
100286,Upper,090170-15
120101,Upper,090170-20
100306,Upper,090170-20
100284,Upper,090170-20
100160,Upper,090170-20
100178,Upper,090170-20
100201,Upper,090170-20
100206,Upper,090170-20
100168,Upper,090170-20
100183,Upper,090170-20
100180,Upper,090170-20
100133,Upper,090170-20
100170,Upper,090170-20
120128,Upper,090170-20
120123,Upper,090170-20
100431,Upper,090170-25
100432,Upper,090170-25
120107,Upper,090170-25
100309,Upper,090170-25
100209,Upper,090170-25
100191,Upper,090170-25
100157,Upper,090170-25
100298,Upper,090170-25
120110,Upper,090170-25
100294,Upper,090170-25
120145,Upper,090170-25
100202,Upper,090170-25
120036,Upper,090170-25
100151,Upper,090170-25
120045,Upper,090170-30
120122,Upper,090170-30
100154,Upper,090170-30
100305,Upper,090170-30
120057,Upper,090170-30
100187,Upper,090170-30
100307,Upper,090170-30
100199,Upper,090170-30
120119,Upper,090170-30
100238,Upper,090170-30
120126,Upper,090170-30
100282,Upper,090170-35
120095,Upper,090170-35
120070,Upper,090170-35
120097,Upper,090170-35
100188,Upper,090170-35
100240,Upper,090170-35
100970,Upper,090170-35
100214,Upper,090170-35
100181,Upper,090170-35
120065,Upper,090170-35
100295,Upper,090170-35
100153,Upper,090170-35
120071,Upper,090170-40
100310,Upper,090170-40
100205,Upper,090170-40
100158,Upper,090170-40
100159,Upper,090170-40
100165,Upper,090170-40
100919,Upper,090170-40
100174,Upper,090170-40
100194,Upper,090170-40
100302,Upper,090170-40
100195,Upper,090170-40
120126,Upper,090170-40
120165,Upper,090170-40
120103,Upper,090170-40
100155,Upper,090170-45
100239,Upper,090170-45
100971,Upper,090170-45
100163,Upper,090170-45
120112,Upper,090170-45
120143,Upper,090170-45
100932,Upper,090170-45
120096,Upper,090170-45
100649,Upper,090170-45
120051,Upper,090170-45
100799,Upper,090170-45
100196,Upper,090170-45
100203,Upper,090170-45
120134,Upper,090170-45
120055,Upper,090270-10
100642,Upper,090270-10
100172,Upper,090270-10
120108,Upper,090270-10
100300,Upper,090270-10
100177,Upper,090270-10
100241,Upper,090270-10
100210,Upper,090270-10
100179,Upper,090270-10
100189,Upper,090270-10
100286,Upper,090270-10
120134,Upper,090270-10
100297,Upper,090270-15
100272,Upper,090270-15
100185,Upper,090270-15
120039,Upper,090270-15
120111,Upper,090270-15
120164,Upper,090270-15
100204,Upper,090270-15
100193,Upper,090270-15
120138,Upper,090270-15
120154,Upper,090270-15
120130,Upper,090270-15
100662,Upper,090270-15
100431,Upper,090270-20
100432,Upper,090270-20
120107,Upper,090270-20
100309,Upper,090270-20
100209,Upper,090270-20
100191,Upper,090270-20
100157,Upper,090270-20
100298,Upper,090270-20
120110,Upper,090270-20
100294,Upper,090270-20
120145,Upper,090270-20
100202,Upper,090270-20
120036,Upper,090270-20
100151,Upper,090270-20
120101,Upper,090270-25
100306,Upper,090270-25
100284,Upper,090270-25
100160,Upper,090270-25
100178,Upper,090270-25
100201,Upper,090270-25
100206,Upper,090270-25
100168,Upper,090270-25
100183,Upper,090270-25
100180,Upper,090270-25
100133,Upper,090270-25
100170,Upper,090270-25
120128,Upper,090270-25
120123,Upper,090270-25
100282,Upper,090270-30
120095,Upper,090270-30
120070,Upper,090270-30
120097,Upper,090270-30
100188,Upper,090270-30
100240,Upper,090270-30
100970,Upper,090270-30
100214,Upper,090270-30
100181,Upper,090270-30
120065,Upper,090270-30
100295,Upper,090270-30
100153,Upper,090270-30
120045,Upper,090270-35
120122,Upper,090270-35
100154,Upper,090270-35
100305,Upper,090270-35
120057,Upper,090270-35
100187,Upper,090270-35
100307,Upper,090270-35
100199,Upper,090270-35
120119,Upper,090270-35
100238,Upper,090270-35
100155,Upper,090270-40
100239,Upper,090270-40
100971,Upper,090270-40
100163,Upper,090270-40
120112,Upper,090270-40
120143,Upper,090270-40
100932,Upper,090270-40
120096,Upper,090270-40
100649,Upper,090270-40
120051,Upper,090270-40
100799,Upper,090270-40
100196,Upper,090270-40
100203,Upper,090270-40
120134,Upper,090270-40
120071,Upper,090270-45
100310,Upper,090270-45
100205,Upper,090270-45
100158,Upper,090270-45
100159,Upper,090270-45
100165,Upper,090270-45
100919,Upper,090270-45
100174,Upper,090270-45
100194,Upper,090270-45
100302,Upper,090270-45
100195,Upper,090270-45
120126,Upper,090270-45
120165,Upper,090270-45
120103,Upper,090270-45
100172,Upper,090370-10
100306,Upper,090370-10
100970,Upper,090370-10
100201,Upper,090370-10
100180,Upper,090370-10
100294,Upper,090370-10
120154,Upper,090370-10
100295,Upper,090370-10
120126,Upper,090370-10
100170,Upper,090370-10
100432,Upper,090370-20
120108,Upper,090370-20
100309,Upper,090370-20
100310,Upper,090370-20
100239,Upper,090370-20
100307,Upper,090370-20
100163,Upper,090370-20
120143,Upper,090370-20
100168,Upper,090370-20
100195,Upper,090370-20
100196,Upper,090370-20
120128,Upper,090370-20
100272,Upper,090370-30
120095,Upper,090370-30
100177,Upper,090370-30
100241,Upper,090370-30
120097,Upper,090370-30
100191,Upper,090370-30
100187,Upper,090370-30
100165,Upper,090370-30
100193,Upper,090370-30
100183,Upper,090370-30
120065,Upper,090370-30
100202,Upper,090370-30
120055,Upper,090370-40
100282,Upper,090370-40
100297,Upper,090370-40
100185,Upper,090370-40
100155,Upper,090370-40
120071,Upper,090370-40
100154,Upper,090370-40
100210,Upper,090370-40
100298,Upper,090370-40
100159,Upper,090370-40
100160,Upper,090370-40
120164,Upper,090370-40
100178,Upper,090370-40
100932,Upper,090370-40
100649,Upper,090370-40
100799,Upper,090370-40
100194,Upper,090370-40
120165,Upper,090370-40
120101,Upper,090370-50
120107,Upper,090370-50
120070,Upper,090370-50
100305,Upper,090370-50
100205,Upper,090370-50
120057,Upper,090370-50
120110,Upper,090370-50
120111,Upper,090370-50
120112,Upper,090370-50
100204,Upper,090370-50
100206,Upper,090370-50
100133,Upper,090370-50
100302,Upper,090370-50
120130,Upper,090370-50
120045,Upper,090370-60
120039,Upper,090370-60
100300,Upper,090370-60
100240,Upper,090370-60
100971,Upper,090370-60
100179,Upper,090370-60
100189,Upper,090370-60
120096,Upper,090370-60
100181,Upper,090370-60
120051,Upper,090370-60
100238,Upper,090370-60
100174,Upper,090370-60
120145,Upper,090370-60
100662,Upper,090370-60
120103,Upper,090370-60
100151,Upper,090370-60
120123,Upper,090370-60
100431,Upper,090370-70
100642,Upper,090370-70
120122,Upper,090370-70
100209,Upper,090370-70
100284,Upper,090370-70
100157,Upper,090370-70
100188,Upper,090370-70
100158,Upper,090370-70
